,2009,2010,2011
Diseases of heart,45,41,41
Malignant neoplasms,42,51,45
Cerebro vascular diseases (stroke),20,11,12
Chronic lower respiratory diseases,15,9,20
Accidents,11,12,11
Alzheimer's disease,7,12,13
"Nephritis, nephrotic syndrome and nephrosis",9,2,6
Diabetes mellitus,6,6,8
Influenza and pneumonia,11,10,7
Septicemia,0,4,1
Intentional self-harm (suicide),2,5,4
Chronic liver disease and cirrhosis,2,2,1
All other causes,35,44,41
