,2009,2010,2011
Diseases of heart,57,58,48
Malignant neoplasms,58,59,50
Cerebro vascular diseases (stroke),15,9,5
Chronic lower respiratory diseases,10,19,15
Accidents,7,10,7
Alzheimer's disease,11,8,2
"Nephritis, nephrotic syndrome and nephrosis",10,2,8
Diabetes mellitus,3,6,2
Influenza and pneumonia,4,9,8
Septicemia,2,5,4
Intentional self-harm (suicide),2,6,0
Chronic liver disease and cirrhosis,0,3,0
All other causes,39,45,42
