,2009,2010,2011
Diseases of heart,43,52,35
Malignant neoplasms,45,27,42
Cerebro vascular diseases (stroke),11,9,6
Chronic lower respiratory diseases,10,14,12
Accidents,5,17,7
Alzheimer's disease,9,9,9
"Nephritis, nephrotic syndrome and nephrosis",5,4,5
Diabetes mellitus,5,4,4
Influenza and pneumonia,10,4,8
Septicemia,4,3,3
Intentional self-harm (suicide),0,3,3
Chronic liver disease and cirrhosis,1,2,2
All other causes,20,33,41
