,2009,2010,2011
Diseases of heart,258,258,271
Malignant neoplasms,234,264,232
Cerebro vascular diseases (stroke),77,43,46
Chronic lower respiratory diseases,44,56,58
Accidents,46,35,48
Alzheimer's disease,46,44,46
"Nephritis, nephrotic syndrome and nephrosis",15,29,27
Diabetes mellitus,52,20,23
Influenza and pneumonia,28,26,23
Septicemia,30,15,25
Intentional self-harm (suicide),8,8,12
Chronic liver disease and cirrhosis,15,10,9
All other causes,216,163,217
