,2009,2010,2011
Diseases of heart,386,422,475
Malignant neoplasms,327,339,346
Cerebro vascular diseases (stroke),84,71,70
Chronic lower respiratory diseases,67,94,97
Accidents,51,48,44
Alzheimer's disease,54,32,43
"Nephritis, nephrotic syndrome and nephrosis",40,22,35
Diabetes mellitus,32,34,31
Influenza and pneumonia,22,35,35
Septicemia,18,30,26
Intentional self-harm (suicide),12,14,17
Chronic liver disease and cirrhosis,12,19,13
All other causes,309,285,351
