,2009,2010,2011
Diseases of heart,119,132,135
Malignant neoplasms,88,117,83
Cerebro vascular diseases (stroke),47,41,27
Chronic lower respiratory diseases,25,40,30
Accidents,19,26,18
Alzheimer's disease,12,14,11
"Nephritis, nephrotic syndrome and nephrosis",18,10,13
Diabetes mellitus,10,10,14
Influenza and pneumonia,15,8,13
Septicemia,10,7,2
Intentional self-harm (suicide),7,6,2
Chronic liver disease and cirrhosis,5,7,3
All other causes,80,101,106
