,2009,2010,2011
Diseases of heart,142,139,137
Malignant neoplasms,107,138,134
Cerebro vascular diseases (stroke),33,17,23
Chronic lower respiratory diseases,28,28,37
Accidents,28,25,12
Alzheimer's disease,14,15,23
"Nephritis, nephrotic syndrome and nephrosis",14,18,20
Diabetes mellitus,15,19,15
Influenza and pneumonia,13,20,14
Septicemia,7,15,7
Intentional self-harm (suicide),3,9,11
Chronic liver disease and cirrhosis,2,3,5
All other causes,91,95,106
