,2009,2010,2011
Diseases of heart,65,73,72
Malignant neoplasms,67,58,47
Cerebro vascular diseases (stroke),9,13,21
Chronic lower respiratory diseases,24,20,7
Accidents,13,7,7
Alzheimer's disease,5,2,7
"Nephritis, nephrotic syndrome and nephrosis",8,3,6
Diabetes mellitus,2,3,6
Influenza and pneumonia,7,7,3
Septicemia,2,3,2
Intentional self-harm (suicide),2,2,2
Chronic liver disease and cirrhosis,2,2,4
All other causes,42,42,47
