,2009,2010,2011
Diseases of heart,96,101,97
Malignant neoplasms,72,85,84
Cerebro vascular diseases (stroke),22,33,29
Chronic lower respiratory diseases,24,16,27
Accidents,10,13,14
Alzheimer's disease,25,28,31
"Nephritis, nephrotic syndrome and nephrosis",10,11,8
Diabetes mellitus,7,16,16
Influenza and pneumonia,9,3,6
Septicemia,6,11,10
Intentional self-harm (suicide),3,5,2
Chronic liver disease and cirrhosis,2,4,3
All other causes,60,54,60
