,2009,2010,2011
Diseases of heart,57,40,42
Malignant neoplasms,46,50,42
Cerebro vascular diseases (stroke),13,17,19
Chronic lower respiratory diseases,13,8,18
Accidents,3,7,6
Alzheimer's disease,2,3,3
"Nephritis, nephrotic syndrome and nephrosis",5,5,4
Diabetes mellitus,7,5,1
Influenza and pneumonia,4,7,5
Septicemia,3,2,2
Intentional self-harm (suicide),4,1,6
Chronic liver disease and cirrhosis,0,2,0
All other causes,49,48,56
