,2009,2010,2011
Diseases of heart,42,37,46
Malignant neoplasms,35,29,42
Cerebro vascular diseases (stroke),6,8,13
Chronic lower respiratory diseases,12,7,6
Accidents,8,7,5
Alzheimer's disease,3,4,2
"Nephritis, nephrotic syndrome and nephrosis",3,1,1
Diabetes mellitus,3,5,9
Influenza and pneumonia,4,4,2
Septicemia,1,2,1
Intentional self-harm (suicide),1,1,6
Chronic liver disease and cirrhosis,2,1,0
All other causes,41,37,40
