,2009,2010,2011
Diseases of heart,64,60,49
Malignant neoplasms,58,48,43
Cerebro vascular diseases (stroke),13,16,20
Chronic lower respiratory diseases,21,11,12
Accidents,10,7,11
Alzheimer's disease,7,9,8
"Nephritis, nephrotic syndrome and nephrosis",8,11,6
Diabetes mellitus,5,3,5
Influenza and pneumonia,10,4,9
Septicemia,3,4,3
Intentional self-harm (suicide),3,3,1
Chronic liver disease and cirrhosis,2,2,1
All other causes,48,45,46
