,2009,2010,2011
Diseases of heart,26,31,16
Malignant neoplasms,20,17,18
Cerebro vascular diseases (stroke),6,4,5
Chronic lower respiratory diseases,4,4,5
Accidents,3,3,7
Alzheimer's disease,1,2,5
"Nephritis, nephrotic syndrome and nephrosis",2,8,1
Diabetes mellitus,3,2,0
Influenza and pneumonia,2,2,5
Septicemia,3,3,1
Intentional self-harm (suicide),2,2,2
Chronic liver disease and cirrhosis,2,2,2
All other causes,11,9,16
