,2009,2010,2011
Diseases of heart,111,114,96
Malignant neoplasms,127,113,137
Cerebro vascular diseases (stroke),34,33,40
Chronic lower respiratory diseases,41,33,34
Accidents,18,20,22
Alzheimer's disease,11,16,12
"Nephritis, nephrotic syndrome and nephrosis",14,8,9
Diabetes mellitus,9,11,15
Influenza and pneumonia,17,11,11
Septicemia,12,12,4
Intentional self-harm (suicide),4,5,2
Chronic liver disease and cirrhosis,6,5,5
All other causes,127,136,117
