,2009,2010,2011
Diseases of heart,45,46,54
Malignant neoplasms,41,45,40
Cerebro vascular diseases (stroke),16,6,13
Chronic lower respiratory diseases,10,10,14
Accidents,4,8,8
Alzheimer's disease,7,7,8
"Nephritis, nephrotic syndrome and nephrosis",3,1,3
Diabetes mellitus,7,4,1
Influenza and pneumonia,7,6,6
Septicemia,1,2,4
Intentional self-harm (suicide),0,1,2
Chronic liver disease and cirrhosis,1,1,2
All other causes,33,40,33
