,2009,2010,2011
Diseases of heart,169,183,156
Malignant neoplasms,158,141,160
Cerebro vascular diseases (stroke),41,34,43
Chronic lower respiratory diseases,34,44,52
Accidents,23,19,24
Alzheimer's disease,23,11,16
"Nephritis, nephrotic syndrome and nephrosis",18,16,15
Diabetes mellitus,12,15,14
Influenza and pneumonia,8,13,12
Septicemia,3,10,12
Intentional self-harm (suicide),6,3,4
Chronic liver disease and cirrhosis,4,4,5
All other causes,117,127,146
