,2009,2010,2011
Diseases of heart,348,342,361
Malignant neoplasms,273,306,299
Cerebro vascular diseases (stroke),61,87,66
Chronic lower respiratory diseases,54,72,85
Accidents,73,73,61
Alzheimer's disease,38,42,40
"Nephritis, nephrotic syndrome and nephrosis",29,16,17
Diabetes mellitus,22,19,36
Influenza and pneumonia,31,25,30
Septicemia,14,15,15
Intentional self-harm (suicide),10,15,19
Chronic liver disease and cirrhosis,15,19,15
All other causes,230,253,274
