,2009,2010,2011
Diseases of heart,76,96,68
Malignant neoplasms,69,75,61
Cerebro vascular diseases (stroke),23,23,18
Chronic lower respiratory diseases,20,25,24
Accidents,10,15,10
Alzheimer's disease,17,25,18
"Nephritis, nephrotic syndrome and nephrosis",9,14,15
Diabetes mellitus,14,7,15
Influenza and pneumonia,10,8,6
Septicemia,11,12,5
Intentional self-harm (suicide),4,5,5
Chronic liver disease and cirrhosis,7,5,0
All other causes,65,66,82
