,2009,2010,2011
Diseases of heart,115,111,82
Malignant neoplasms,108,100,102
Cerebro vascular diseases (stroke),21,22,30
Chronic lower respiratory diseases,24,18,42
Accidents,16,17,18
Alzheimer's disease,17,18,12
"Nephritis, nephrotic syndrome and nephrosis",12,9,12
Diabetes mellitus,5,9,6
Influenza and pneumonia,12,4,14
Septicemia,10,10,8
Intentional self-harm (suicide),3,4,7
Chronic liver disease and cirrhosis,4,2,1
All other causes,123,113,128
