,2009,2010,2011
Diseases of heart,135,137,109
Malignant neoplasms,129,152,117
Cerebro vascular diseases (stroke),31,40,26
Chronic lower respiratory diseases,34,31,38
Accidents,18,23,20
Alzheimer's disease,10,9,9
"Nephritis, nephrotic syndrome and nephrosis",13,11,11
Diabetes mellitus,12,7,14
Influenza and pneumonia,9,6,15
Septicemia,10,11,7
Intentional self-harm (suicide),9,9,8
Chronic liver disease and cirrhosis,2,7,5
All other causes,113,124,136
