,2009,2010,2011
Diseases of heart,681,678,646
Malignant neoplasms,601,635,585
Cerebro vascular diseases (stroke),176,155,146
Chronic lower respiratory diseases,133,155,153
Accidents,139,155,146
Alzheimer's disease,90,82,88
"Nephritis, nephrotic syndrome and nephrosis",68,60,61
Diabetes mellitus,75,59,67
Influenza and pneumonia,63,52,58
Septicemia,49,53,43
Intentional self-harm (suicide),39,28,18
Chronic liver disease and cirrhosis,44,21,31
All other causes,486,494,624
