,2009,2010,2011
Diseases of heart,30,25,29
Malignant neoplasms,20,22,17
Cerebro vascular diseases (stroke),6,2,5
Chronic lower respiratory diseases,6,5,3
Accidents,1,8,2
Alzheimer's disease,4,7,1
"Nephritis, nephrotic syndrome and nephrosis",3,3,1
Diabetes mellitus,2,0,2
Influenza and pneumonia,6,7,4
Septicemia,1,1,3
Intentional self-harm (suicide),1,2,2
Chronic liver disease and cirrhosis,0,1,1
All other causes,12,17,27
