,2009,2010,2011
Diseases of heart,59,54,46
Malignant neoplasms,55,62,60
Cerebro vascular diseases (stroke),10,14,17
Chronic lower respiratory diseases,22,12,15
Accidents,11,6,14
Alzheimer's disease,14,11,17
"Nephritis, nephrotic syndrome and nephrosis",2,6,5
Diabetes mellitus,7,0,2
Influenza and pneumonia,4,6,8
Septicemia,4,2,0
Intentional self-harm (suicide),1,2,5
Chronic liver disease and cirrhosis,3,3,1
All other causes,43,47,46
