,2009,2010,2011
Diseases of heart,24,23,17
Malignant neoplasms,10,28,19
Cerebro vascular diseases (stroke),5,2,3
Chronic lower respiratory diseases,8,4,11
Accidents,2,3,1
Alzheimer's disease,2,1,4
"Nephritis, nephrotic syndrome and nephrosis",1,5,2
Diabetes mellitus,1,1,2
Influenza and pneumonia,5,0,2
Septicemia,1,1,2
Intentional self-harm (suicide),1,0,3
Chronic liver disease and cirrhosis,0,0,2
All other causes,10,18,19
