FIPS,County,Cause of Death,Deaths
051,FAYETTE,Diseases of heart (heart disease),49
051,FAYETTE,Malignant neoplasms (cancer),48
051,FAYETTE,All other causes,35
051,FAYETTE,Accidents (unintentional injuries),26
051,FAYETTE,Chronic lower respiratory diseases,18
051,FAYETTE,Alzheimer disease,15
051,FAYETTE,Diabetes mellitus (diabetes),14
051,FAYETTE,COVID-19,10
051,FAYETTE,Cerebrovascular diseases (stroke),*
051,FAYETTE,Chronic liver disease and cirrhosis,*
051,FAYETTE,Septicemia,*
051,FAYETTE,Essential hypertension and hypertensive renal disease (hypertension),*
051,FAYETTE,Influenza and pneumonia,*
051,FAYETTE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
051,FAYETTE,Intentional self-harm (suicide),*
051,FAYETTE,Parkinson disease,*
051,FAYETTE,Anemias,*
051,FAYETTE,Pneumonitis due to solids and liquids,*
051,FAYETTE,Nutritional deficiencies,*
051,FAYETTE,Inflammatory diseases of female pelvic organs,*
053,FORD,Diseases of heart (heart disease),55
053,FORD,All other causes,39
053,FORD,Malignant neoplasms (cancer),37
053,FORD,Cerebrovascular diseases (stroke),23
053,FORD,Chronic lower respiratory diseases,12
053,FORD,Alzheimer disease,11
053,FORD,Accidents (unintentional injuries),10
053,FORD,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
053,FORD,Nutritional deficiencies,*
053,FORD,Diabetes mellitus (diabetes),*
053,FORD,Pneumonitis due to solids and liquids,*
053,FORD,Septicemia,*
053,FORD,COVID-19,*
053,FORD,Parkinson disease,*
053,FORD,Intentional self-harm (suicide),*
053,FORD,Influenza and pneumonia,*
053,FORD,Aortic aneurysm and dissection,*
053,FORD,Enterocolitis due to Clostridium difficile,*
053,FORD,Cholelithiasis and other disorders of gallbladder,*
053,FORD,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
053,FORD,Peptic ulcer,*
055,FRANKLIN,Diseases of heart (heart disease),112
055,FRANKLIN,Malignant neoplasms (cancer),104
055,FRANKLIN,All other causes,81
055,FRANKLIN,Chronic lower respiratory diseases,47
055,FRANKLIN,Accidents (unintentional injuries),35
055,FRANKLIN,Cerebrovascular diseases (stroke),33
055,FRANKLIN,Diabetes mellitus (diabetes),23
055,FRANKLIN,Alzheimer disease,18
055,FRANKLIN,Influenza and pneumonia,14
055,FRANKLIN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",14
055,FRANKLIN,Parkinson disease,13
055,FRANKLIN,Chronic liver disease and cirrhosis,11
055,FRANKLIN,Septicemia,10
055,FRANKLIN,Essential hypertension and hypertensive renal disease (hypertension),10
055,FRANKLIN,Intentional self-harm (suicide),*
055,FRANKLIN,COVID-19,*
055,FRANKLIN,Nutritional deficiencies,*
055,FRANKLIN,Unknown (R99),*
055,FRANKLIN,Pneumonitis due to solids and liquids,*
055,FRANKLIN,Peptic ulcer,*
055,FRANKLIN,Viral hepatitis,*
055,FRANKLIN,Enterocolitis due to Clostridium difficile,*
055,FRANKLIN,"Congenital malformations, deformations and chromosomal abnormalities",*
055,FRANKLIN,Certain conditions originating in the perinatal period,*
055,FRANKLIN,Acute bronchitis and bronchiolitis,*
055,FRANKLIN,Aortic aneurysm and dissection,*
055,FRANKLIN,Human immunodeficiency virus (HIV) disease,*
057,FULTON,All other causes,105
057,FULTON,Diseases of heart (heart disease),93
057,FULTON,Malignant neoplasms (cancer),89
057,FULTON,Chronic lower respiratory diseases,33
057,FULTON,Cerebrovascular diseases (stroke),29
057,FULTON,Accidents (unintentional injuries),26
057,FULTON,Alzheimer disease,18
057,FULTON,COVID-19,15
057,FULTON,Influenza and pneumonia,13
057,FULTON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",10
057,FULTON,Pneumonitis due to solids and liquids,10
057,FULTON,Diabetes mellitus (diabetes),*
057,FULTON,Septicemia,*
057,FULTON,Intentional self-harm (suicide),*
057,FULTON,Parkinson disease,*
057,FULTON,"Congenital malformations, deformations and chromosomal abnormalities",*
057,FULTON,Essential hypertension and hypertensive renal disease (hypertension),*
057,FULTON,Aortic aneurysm and dissection,*
057,FULTON,Nutritional deficiencies,*
057,FULTON,Chronic liver disease and cirrhosis,*
057,FULTON,Cholelithiasis and other disorders of gallbladder,*
057,FULTON,Enterocolitis due to Clostridium difficile,*
057,FULTON,Atherosclerosis,*
057,FULTON,Assault (homicide),*
057,FULTON,Anemias,*
057,FULTON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
059,GALLATIN,Diseases of heart (heart disease),18
059,GALLATIN,All other causes,16
059,GALLATIN,Malignant neoplasms (cancer),11
059,GALLATIN,Accidents (unintentional injuries),*
059,GALLATIN,Chronic lower respiratory diseases,*
059,GALLATIN,Cerebrovascular diseases (stroke),*
059,GALLATIN,Pneumonitis due to solids and liquids,*
059,GALLATIN,Diabetes mellitus (diabetes),*
059,GALLATIN,Septicemia,*
059,GALLATIN,Parkinson disease,*
059,GALLATIN,Influenza and pneumonia,*
059,GALLATIN,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
059,GALLATIN,Essential hypertension and hypertensive renal disease (hypertension),*
059,GALLATIN,Alzheimer disease,*
059,GALLATIN,COVID-19,*
059,GALLATIN,Hernia,*
059,GALLATIN,Chronic liver disease and cirrhosis,*
059,GALLATIN,Assault (homicide),*
059,GALLATIN,Aortic aneurysm and dissection,*
059,GALLATIN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
061,GREENE,Malignant neoplasms (cancer),42
061,GREENE,Diseases of heart (heart disease),36
061,GREENE,All other causes,22
061,GREENE,Chronic lower respiratory diseases,21
061,GREENE,Accidents (unintentional injuries),13
061,GREENE,Cerebrovascular diseases (stroke),*
061,GREENE,Alzheimer disease,*
061,GREENE,Chronic liver disease and cirrhosis,*
061,GREENE,Septicemia,*
061,GREENE,Influenza and pneumonia,*
061,GREENE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
061,GREENE,Diabetes mellitus (diabetes),*
061,GREENE,COVID-19,*
061,GREENE,Parkinson disease,*
061,GREENE,Pneumonitis due to solids and liquids,*
061,GREENE,"Congenital malformations, deformations and chromosomal abnormalities",*
061,GREENE,Essential hypertension and hypertensive renal disease (hypertension),*
061,GREENE,Nutritional deficiencies,*
063,GRUNDY,Malignant neoplasms (cancer),105
063,GRUNDY,Diseases of heart (heart disease),104
063,GRUNDY,All other causes,91
063,GRUNDY,Accidents (unintentional injuries),29
063,GRUNDY,Cerebrovascular diseases (stroke),28
063,GRUNDY,Chronic lower respiratory diseases,25
063,GRUNDY,Diabetes mellitus (diabetes),19
063,GRUNDY,Alzheimer disease,13
063,GRUNDY,Parkinson disease,*
063,GRUNDY,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
063,GRUNDY,Septicemia,*
063,GRUNDY,Chronic liver disease and cirrhosis,*
063,GRUNDY,COVID-19,*
063,GRUNDY,Intentional self-harm (suicide),*
063,GRUNDY,Nutritional deficiencies,*
063,GRUNDY,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
063,GRUNDY,Unknown (R99),*
063,GRUNDY,Influenza and pneumonia,*
063,GRUNDY,Essential hypertension and hypertensive renal disease (hypertension),*
063,GRUNDY,Enterocolitis due to Clostridium difficile,*
063,GRUNDY,Aortic aneurysm and dissection,*
063,GRUNDY,Viral hepatitis,*
063,GRUNDY,Meningitis,*
063,GRUNDY,Assault (homicide),*
063,GRUNDY,Legal intervention,*
065,HAMILTON,Malignant neoplasms (cancer),23
065,HAMILTON,Diseases of heart (heart disease),21
065,HAMILTON,All other causes,11
065,HAMILTON,Chronic lower respiratory diseases,*
065,HAMILTON,Accidents (unintentional injuries),*
065,HAMILTON,Septicemia,*
065,HAMILTON,Alzheimer disease,*
065,HAMILTON,Essential hypertension and hypertensive renal disease (hypertension),*
065,HAMILTON,Diabetes mellitus (diabetes),*
065,HAMILTON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
065,HAMILTON,Cerebrovascular diseases (stroke),*
065,HAMILTON,Peptic ulcer,*
065,HAMILTON,Parkinson disease,*
065,HAMILTON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
065,HAMILTON,Unknown (R99),*
065,HAMILTON,Pneumonitis due to solids and liquids,*
065,HAMILTON,Infections of kidney,*
065,HAMILTON,COVID-19,*
065,HAMILTON,Cholelithiasis and other disorders of gallbladder,*
065,HAMILTON,Aortic aneurysm and dissection,*
065,HAMILTON,Nutritional deficiencies,*
065,HAMILTON,Influenza and pneumonia,*
067,HANCOCK,Diseases of heart (heart disease),63
067,HANCOCK,Malignant neoplasms (cancer),50
067,HANCOCK,All other causes,36
067,HANCOCK,Accidents (unintentional injuries),19
067,HANCOCK,Chronic lower respiratory diseases,17
067,HANCOCK,Essential hypertension and hypertensive renal disease (hypertension),*
067,HANCOCK,Cerebrovascular diseases (stroke),*
067,HANCOCK,Septicemia,*
067,HANCOCK,Alzheimer disease,*
067,HANCOCK,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
067,HANCOCK,COVID-19,*
067,HANCOCK,Diabetes mellitus (diabetes),*
067,HANCOCK,Influenza and pneumonia,*
067,HANCOCK,Intentional self-harm (suicide),*
067,HANCOCK,Chronic liver disease and cirrhosis,*
067,HANCOCK,Parkinson disease,*
067,HANCOCK,Certain conditions originating in the perinatal period,*
067,HANCOCK,Pneumonitis due to solids and liquids,*
067,HANCOCK,Cholelithiasis and other disorders of gallbladder,*
069,HARDIN,Malignant neoplasms (cancer),18
069,HARDIN,Diseases of heart (heart disease),*
069,HARDIN,All other causes,*
069,HARDIN,Chronic lower respiratory diseases,*
069,HARDIN,Diabetes mellitus (diabetes),*
069,HARDIN,Alzheimer disease,*
069,HARDIN,Accidents (unintentional injuries),*
069,HARDIN,Cerebrovascular diseases (stroke),*
069,HARDIN,Essential hypertension and hypertensive renal disease (hypertension),*
069,HARDIN,Intentional self-harm (suicide),*
069,HARDIN,Parkinson disease,*
069,HARDIN,Septicemia,*
071,HENDERSON,Malignant neoplasms (cancer),25
071,HENDERSON,Diseases of heart (heart disease),22
071,HENDERSON,All other causes,*
071,HENDERSON,Accidents (unintentional injuries),*
071,HENDERSON,Alzheimer disease,*
071,HENDERSON,Cerebrovascular diseases (stroke),*
071,HENDERSON,Chronic lower respiratory diseases,*
071,HENDERSON,Chronic liver disease and cirrhosis,*
071,HENDERSON,COVID-19,*
071,HENDERSON,Diabetes mellitus (diabetes),*
071,HENDERSON,Peptic ulcer,*
071,HENDERSON,Influenza and pneumonia,*
071,HENDERSON,Viral hepatitis,*
073,HENRY,Diseases of heart (heart disease),161
073,HENRY,Malignant neoplasms (cancer),126
073,HENRY,All other causes,94
073,HENRY,Chronic lower respiratory diseases,33
073,HENRY,Accidents (unintentional injuries),27
073,HENRY,Cerebrovascular diseases (stroke),23
073,HENRY,Alzheimer disease,14
073,HENRY,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",13
073,HENRY,Septicemia,11
073,HENRY,COVID-19,11
073,HENRY,Parkinson disease,10
073,HENRY,Essential hypertension and hypertensive renal disease (hypertension),*
073,HENRY,Diabetes mellitus (diabetes),*
073,HENRY,Influenza and pneumonia,*
073,HENRY,Chronic liver disease and cirrhosis,*
073,HENRY,Intentional self-harm (suicide),*
073,HENRY,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
073,HENRY,Unknown (R99),*
073,HENRY,Pneumonitis due to solids and liquids,*
073,HENRY,Nutritional deficiencies,*
073,HENRY,Certain conditions originating in the perinatal period,*
073,HENRY,Aortic aneurysm and dissection,*
073,HENRY,Meningitis,*
073,HENRY,Hernia,*
073,HENRY,Peptic ulcer,*
073,HENRY,Assault (homicide),*
073,HENRY,Anemias,*
075,IROQUOIS,Diseases of heart (heart disease),90
075,IROQUOIS,Malignant neoplasms (cancer),65
075,IROQUOIS,All other causes,48
075,IROQUOIS,Cerebrovascular diseases (stroke),24
075,IROQUOIS,Chronic lower respiratory diseases,21
075,IROQUOIS,Accidents (unintentional injuries),20
075,IROQUOIS,Alzheimer disease,18
075,IROQUOIS,Diabetes mellitus (diabetes),15
075,IROQUOIS,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",10
075,IROQUOIS,COVID-19,*
075,IROQUOIS,Septicemia,*
075,IROQUOIS,Intentional self-harm (suicide),*
075,IROQUOIS,Influenza and pneumonia,*
075,IROQUOIS,Parkinson disease,*
075,IROQUOIS,Assault (homicide),*
075,IROQUOIS,Pneumonitis due to solids and liquids,*
075,IROQUOIS,Nutritional deficiencies,*
075,IROQUOIS,Chronic liver disease and cirrhosis,*
075,IROQUOIS,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
075,IROQUOIS,Essential hypertension and hypertensive renal disease (hypertension),*
075,IROQUOIS,Aortic aneurysm and dissection,*
075,IROQUOIS,Complications of medical and surgical care,*
075,IROQUOIS,Certain conditions originating in the perinatal period,*
075,IROQUOIS,Meningitis,*
075,IROQUOIS,Diseases of appendix,*
075,IROQUOIS,Anemias,*
075,IROQUOIS,Unknown (R99),*
077,JACKSON,Diseases of heart (heart disease),134
077,JACKSON,Malignant neoplasms (cancer),102
077,JACKSON,All other causes,85
077,JACKSON,Cerebrovascular diseases (stroke),33
077,JACKSON,Accidents (unintentional injuries),30
077,JACKSON,Chronic lower respiratory diseases,25
077,JACKSON,Diabetes mellitus (diabetes),21
077,JACKSON,Septicemia,18
077,JACKSON,Alzheimer disease,16
077,JACKSON,Influenza and pneumonia,14
077,JACKSON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",12
077,JACKSON,Chronic liver disease and cirrhosis,10
077,JACKSON,COVID-19,*
077,JACKSON,Essential hypertension and hypertensive renal disease (hypertension),*
077,JACKSON,Intentional self-harm (suicide),*
077,JACKSON,Certain conditions originating in the perinatal period,*
077,JACKSON,Pneumonitis due to solids and liquids,*
077,JACKSON,Assault (homicide),*
077,JACKSON,Parkinson disease,*
077,JACKSON,Viral hepatitis,*
077,JACKSON,Aortic aneurysm and dissection,*
077,JACKSON,Anemias,*
077,JACKSON,,*
077,JACKSON,"Congenital malformations, deformations and chromosomal abnormalities",*
077,JACKSON,Cholelithiasis and other disorders of gallbladder,*
077,JACKSON,Nutritional deficiencies,*
077,JACKSON,Atherosclerosis,*
077,JACKSON,Infections of kidney,*
077,JACKSON,Unknown (R99),*
079,JASPER,Diseases of heart (heart disease),31
079,JASPER,Malignant neoplasms (cancer),31
079,JASPER,All other causes,21
079,JASPER,Cerebrovascular diseases (stroke),12
079,JASPER,Chronic lower respiratory diseases,12
079,JASPER,Accidents (unintentional injuries),*
079,JASPER,Diabetes mellitus (diabetes),*
079,JASPER,Alzheimer disease,*
079,JASPER,Influenza and pneumonia,*
079,JASPER,COVID-19,*
079,JASPER,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
079,JASPER,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
079,JASPER,Nutritional deficiencies,*
079,JASPER,Septicemia,*
079,JASPER,Pneumonitis due to solids and liquids,*
079,JASPER,"Congenital malformations, deformations and chromosomal abnormalities",*
079,JASPER,Assault (homicide),*
079,JASPER,Parkinson disease,*
079,JASPER,Essential hypertension and hypertensive renal disease (hypertension),*
081,JEFFERSON,Malignant neoplasms (cancer),107
081,JEFFERSON,Diseases of heart (heart disease),103
081,JEFFERSON,All other causes,51
081,JEFFERSON,Chronic lower respiratory diseases,30
081,JEFFERSON,Accidents (unintentional injuries),29
081,JEFFERSON,Cerebrovascular diseases (stroke),23
081,JEFFERSON,Alzheimer disease,23
081,JEFFERSON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",17
081,JEFFERSON,Diabetes mellitus (diabetes),14
081,JEFFERSON,Pneumonitis due to solids and liquids,10
081,JEFFERSON,Intentional self-harm (suicide),10
081,JEFFERSON,COVID-19,*
081,JEFFERSON,Chronic liver disease and cirrhosis,*
081,JEFFERSON,Septicemia,*
081,JEFFERSON,Parkinson disease,*
081,JEFFERSON,Essential hypertension and hypertensive renal disease (hypertension),*
081,JEFFERSON,Peptic ulcer,*
081,JEFFERSON,Influenza and pneumonia,*
081,JEFFERSON,"Congenital malformations, deformations and chromosomal abnormalities",*
081,JEFFERSON,Unknown (R99),*
081,JEFFERSON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
081,JEFFERSON,Enterocolitis due to Clostridium difficile,*
081,JEFFERSON,Complications of medical and surgical care,*
081,JEFFERSON,Cholelithiasis and other disorders of gallbladder,*
083,JERSEY,Diseases of heart (heart disease),70
083,JERSEY,Malignant neoplasms (cancer),56
083,JERSEY,All other causes,36
083,JERSEY,Diabetes mellitus (diabetes),16
083,JERSEY,Accidents (unintentional injuries),14
083,JERSEY,Alzheimer disease,13
083,JERSEY,Chronic lower respiratory diseases,12
083,JERSEY,Cerebrovascular diseases (stroke),11
083,JERSEY,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
083,JERSEY,COVID-19,*
083,JERSEY,Septicemia,*
083,JERSEY,Essential hypertension and hypertensive renal disease (hypertension),*
083,JERSEY,Parkinson disease,*
083,JERSEY,Influenza and pneumonia,*
083,JERSEY,,*
083,JERSEY,Chronic liver disease and cirrhosis,*
083,JERSEY,Nutritional deficiencies,*
083,JERSEY,Intentional self-harm (suicide),*
083,JERSEY,Anemias,*
083,JERSEY,Enterocolitis due to Clostridium difficile,*
083,JERSEY,"Congenital malformations, deformations and chromosomal abnormalities",*
083,JERSEY,Peptic ulcer,*
083,JERSEY,Pneumoconioses and chemical effects,*
083,JERSEY,Pneumonitis due to solids and liquids,*
083,JERSEY,Assault (homicide),*
083,JERSEY,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
085,JO DAVIESS,Diseases of heart (heart disease),75
085,JO DAVIESS,Malignant neoplasms (cancer),57
085,JO DAVIESS,All other causes,38
085,JO DAVIESS,Cerebrovascular diseases (stroke),17
085,JO DAVIESS,Alzheimer disease,17
085,JO DAVIESS,Accidents (unintentional injuries),14
085,JO DAVIESS,Chronic lower respiratory diseases,11
085,JO DAVIESS,COVID-19,*
085,JO DAVIESS,Diabetes mellitus (diabetes),*
085,JO DAVIESS,Parkinson disease,*
085,JO DAVIESS,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
085,JO DAVIESS,Influenza and pneumonia,*
085,JO DAVIESS,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
085,JO DAVIESS,Intentional self-harm (suicide),*
085,JO DAVIESS,Essential hypertension and hypertensive renal disease (hypertension),*
085,JO DAVIESS,Septicemia,*
085,JO DAVIESS,Anemias,*
085,JO DAVIESS,"Congenital malformations, deformations and chromosomal abnormalities",*
085,JO DAVIESS,Chronic liver disease and cirrhosis,*
085,JO DAVIESS,Certain conditions originating in the perinatal period,*
085,JO DAVIESS,Pneumonitis due to solids and liquids,*
087,JOHNSON,Diseases of heart (heart disease),26
087,JOHNSON,Malignant neoplasms (cancer),22
087,JOHNSON,All other causes,22
087,JOHNSON,Chronic lower respiratory diseases,19
087,JOHNSON,Cerebrovascular diseases (stroke),10
087,JOHNSON,COVID-19,*
087,JOHNSON,Accidents (unintentional injuries),*
087,JOHNSON,Essential hypertension and hypertensive renal disease (hypertension),*
087,JOHNSON,Intentional self-harm (suicide),*
087,JOHNSON,Alzheimer disease,*
087,JOHNSON,Parkinson disease,*
087,JOHNSON,Diabetes mellitus (diabetes),*
087,JOHNSON,Septicemia,*
087,JOHNSON,Certain conditions originating in the perinatal period,*
087,JOHNSON,Assault (homicide),*
087,JOHNSON,Aortic aneurysm and dissection,*
087,JOHNSON,,*
087,JOHNSON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
087,JOHNSON,Influenza and pneumonia,*
087,JOHNSON,Chronic liver disease and cirrhosis,*
089,KANE,Malignant neoplasms (cancer),838
089,KANE,Diseases of heart (heart disease),752
089,KANE,All other causes,639
089,KANE,Cerebrovascular diseases (stroke),288
089,KANE,Accidents (unintentional injuries),220
089,KANE,Chronic lower respiratory diseases,132
089,KANE,Alzheimer disease,119
089,KANE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",84
089,KANE,Diabetes mellitus (diabetes),81
089,KANE,Chronic liver disease and cirrhosis,79
089,KANE,Parkinson disease,64
089,KANE,Influenza and pneumonia,60
089,KANE,Septicemia,57
089,KANE,COVID-19,48
089,KANE,Intentional self-harm (suicide),42
089,KANE,Essential hypertension and hypertensive renal disease (hypertension),40
089,KANE,Pneumonitis due to solids and liquids,36
089,KANE,Certain conditions originating in the perinatal period,27
089,KANE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",24
089,KANE,Atherosclerosis,23
089,KANE,Nutritional deficiencies,22
089,KANE,Assault (homicide),19
089,KANE,"Congenital malformations, deformations and chromosomal abnormalities",18
089,KANE,Aortic aneurysm and dissection,10
089,KANE,Anemias,*
089,KANE,Unknown (R99),*
089,KANE,Peptic ulcer,*
089,KANE,Enterocolitis due to Clostridium difficile,*
089,KANE,Complications of medical and surgical care,*
089,KANE,Hernia,*
089,KANE,Viral hepatitis,*
089,KANE,Human immunodeficiency virus (HIV) disease,*
089,KANE,Infections of kidney,*
089,KANE,Cholelithiasis and other disorders of gallbladder,*
089,KANE,"Pregnancy, childbirth and the puerperium",*
089,KANE,Pneumoconioses and chemical effects,*
091,KANKAKEE,Diseases of heart (heart disease),305
091,KANKAKEE,Malignant neoplasms (cancer),238
091,KANKAKEE,All other causes,186
091,KANKAKEE,Cerebrovascular diseases (stroke),77
091,KANKAKEE,Chronic lower respiratory diseases,77
091,KANKAKEE,Accidents (unintentional injuries),73
091,KANKAKEE,Alzheimer disease,35
091,KANKAKEE,Septicemia,28
091,KANKAKEE,Diabetes mellitus (diabetes),28
091,KANKAKEE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",26
091,KANKAKEE,Influenza and pneumonia,22
091,KANKAKEE,Pneumonitis due to solids and liquids,17
091,KANKAKEE,Essential hypertension and hypertensive renal disease (hypertension),15
091,KANKAKEE,Intentional self-harm (suicide),15
091,KANKAKEE,Chronic liver disease and cirrhosis,14
091,KANKAKEE,COVID-19,*
091,KANKAKEE,Parkinson disease,*
091,KANKAKEE,"Congenital malformations, deformations and chromosomal abnormalities",*
091,KANKAKEE,Assault (homicide),*
091,KANKAKEE,Certain conditions originating in the perinatal period,*
091,KANKAKEE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
091,KANKAKEE,Nutritional deficiencies,*
091,KANKAKEE,Aortic aneurysm and dissection,*
091,KANKAKEE,Enterocolitis due to Clostridium difficile,*
091,KANKAKEE,Anemias,*
091,KANKAKEE,Human immunodeficiency virus (HIV) disease,*
091,KANKAKEE,Peptic ulcer,*
091,KANKAKEE,"Pregnancy, childbirth and the puerperium",*
091,KANKAKEE,Unknown (R99),*
093,KENDALL,Diseases of heart (heart disease),157
093,KENDALL,Malignant neoplasms (cancer),149
093,KENDALL,All other causes,102
093,KENDALL,Cerebrovascular diseases (stroke),45
093,KENDALL,Accidents (unintentional injuries),45
093,KENDALL,Alzheimer disease,27
093,KENDALL,Chronic lower respiratory diseases,21
093,KENDALL,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",20
093,KENDALL,Parkinson disease,13
093,KENDALL,Septicemia,11
093,KENDALL,Diabetes mellitus (diabetes),10
093,KENDALL,COVID-19,10
093,KENDALL,Intentional self-harm (suicide),10
093,KENDALL,Chronic liver disease and cirrhosis,10
093,KENDALL,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",10
093,KENDALL,Influenza and pneumonia,*
093,KENDALL,Pneumonitis due to solids and liquids,*
093,KENDALL,Nutritional deficiencies,*
093,KENDALL,Essential hypertension and hypertensive renal disease (hypertension),*
093,KENDALL,Assault (homicide),*
093,KENDALL,Unknown (R99),*
093,KENDALL,Certain conditions originating in the perinatal period,*
093,KENDALL,Peptic ulcer,*
093,KENDALL,Hernia,*
093,KENDALL,Aortic aneurysm and dissection,*
093,KENDALL,Cholelithiasis and other disorders of gallbladder,*
093,KENDALL,Complications of medical and surgical care,*
093,KENDALL,"Congenital malformations, deformations and chromosomal abnormalities",*
093,KENDALL,Enterocolitis due to Clostridium difficile,*
093,KENDALL,Anemias,*
095,KNOX,Malignant neoplasms (cancer),146
095,KNOX,Diseases of heart (heart disease),130
095,KNOX,All other causes,89
095,KNOX,Chronic lower respiratory diseases,53
095,KNOX,Accidents (unintentional injuries),41
095,KNOX,Cerebrovascular diseases (stroke),39
095,KNOX,Alzheimer disease,34
095,KNOX,Diabetes mellitus (diabetes),20
095,KNOX,COVID-19,16
095,KNOX,Essential hypertension and hypertensive renal disease (hypertension),15
095,KNOX,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",12
095,KNOX,Pneumonitis due to solids and liquids,11
095,KNOX,Septicemia,*
095,KNOX,Nutritional deficiencies,*
095,KNOX,Intentional self-harm (suicide),*
095,KNOX,Parkinson disease,*
095,KNOX,Chronic liver disease and cirrhosis,*
095,KNOX,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
095,KNOX,Aortic aneurysm and dissection,*
095,KNOX,Influenza and pneumonia,*
095,KNOX,Anemias,*
095,KNOX,Peptic ulcer,*
095,KNOX,Complications of medical and surgical care,*
095,KNOX,Enterocolitis due to Clostridium difficile,*
095,KNOX,Hyperplasia of prostate,*
095,KNOX,Assault (homicide),*
095,KNOX,"Pregnancy, childbirth and the puerperium",*
095,KNOX,Certain conditions originating in the perinatal period,*
097,LAKE,Malignant neoplasms (cancer),"1,110"
097,LAKE,Diseases of heart (heart disease),"1,052"
097,LAKE,All other causes,919
097,LAKE,Accidents (unintentional injuries),309
097,LAKE,Cerebrovascular diseases (stroke),277
097,LAKE,Alzheimer disease,202
097,LAKE,Chronic lower respiratory diseases,174
097,LAKE,Diabetes mellitus (diabetes),144
097,LAKE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",129
097,LAKE,COVID-19,93
097,LAKE,Parkinson disease,92
097,LAKE,Intentional self-harm (suicide),90
097,LAKE,Septicemia,80
097,LAKE,Influenza and pneumonia,66
097,LAKE,Chronic liver disease and cirrhosis,65
097,LAKE,Essential hypertension and hypertensive renal disease (hypertension),43
097,LAKE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",43
097,LAKE,Nutritional deficiencies,32
097,LAKE,Pneumonitis due to solids and liquids,30
097,LAKE,Assault (homicide),26
097,LAKE,"Congenital malformations, deformations and chromosomal abnormalities",20
097,LAKE,Aortic aneurysm and dissection,20
097,LAKE,Certain conditions originating in the perinatal period,16
097,LAKE,Unknown (R99),14
097,LAKE,Anemias,14
097,LAKE,Enterocolitis due to Clostridium difficile,10
097,LAKE,Complications of medical and surgical care,*
097,LAKE,Cholelithiasis and other disorders of gallbladder,*
097,LAKE,Hernia,*
097,LAKE,Legal intervention,*
097,LAKE,Peptic ulcer,*
097,LAKE,Infections of kidney,*
097,LAKE,Viral hepatitis,*
097,LAKE,Tuberculosis,*
097,LAKE,,*
097,LAKE,Pneumoconioses and chemical effects,*
097,LAKE,Human immunodeficiency virus (HIV) disease,*
099,LA SALLE,Diseases of heart (heart disease),332
099,LA SALLE,Malignant neoplasms (cancer),305
099,LA SALLE,All other causes,165
099,LA SALLE,Alzheimer disease,75
099,LA SALLE,Chronic lower respiratory diseases,68
099,LA SALLE,Cerebrovascular diseases (stroke),65
099,LA SALLE,Accidents (unintentional injuries),64
099,LA SALLE,Diabetes mellitus (diabetes),37
099,LA SALLE,Chronic liver disease and cirrhosis,27
099,LA SALLE,COVID-19,22
