,2009,2010,2011
Diseases of heart,173,158,177
Malignant neoplasms,186,171,172
Cerebro vascular diseases (stroke),43,36,44
Chronic lower respiratory diseases,38,46,36
Accidents,23,32,37
Alzheimer's disease,17,24,24
"Nephritis, nephrotic syndrome and nephrosis",16,32,27
Diabetes mellitus,33,9,15
Influenza and pneumonia,31,19,28
Septicemia,15,23,20
Intentional self-harm (suicide),12,7,8
Chronic liver disease and cirrhosis,7,8,9
All other causes,156,174,170
