,2009,2010,2011
Diseases of heart,38,28,29
Malignant neoplasms,21,12,19
Cerebro vascular diseases (stroke),8,4,5
Chronic lower respiratory diseases,4,6,7
Accidents,2,6,1
Alzheimer's disease,1,0,3
"Nephritis, nephrotic syndrome and nephrosis",6,2,3
Diabetes mellitus,7,3,4
Influenza and pneumonia,3,0,2
Septicemia,2,1,3
Intentional self-harm (suicide),1,1,1
Chronic liver disease and cirrhosis,0,1,0
All other causes,18,27,28
