,2009,2010,2011
Diseases of heart,157,161,143
Malignant neoplasms,160,147,157
Cerebro vascular diseases (stroke),32,34,32
Chronic lower respiratory diseases,29,37,40
Accidents,41,23,29
Alzheimer's disease,35,33,30
"Nephritis, nephrotic syndrome and nephrosis",15,17,17
Diabetes mellitus,18,22,14
Influenza and pneumonia,6,14,14
Septicemia,11,7,8
Intentional self-harm (suicide),12,2,5
Chronic liver disease and cirrhosis,5,7,10
All other causes,158,158,168
