,2009,2010,2011
Diseases of heart,46,48,49
Malignant neoplasms,41,28,52
Cerebro vascular diseases (stroke),13,16,13
Chronic lower respiratory diseases,21,12,13
Accidents,6,8,6
Alzheimer's disease,5,4,2
"Nephritis, nephrotic syndrome and nephrosis",8,3,1
Diabetes mellitus,1,8,4
Influenza and pneumonia,5,4,4
Septicemia,3,3,2
Intentional self-harm (suicide),5,1,2
Chronic liver disease and cirrhosis,0,2,0
All other causes,35,30,46
