,2009,2010,2011
Diseases of heart,95,111,83
Malignant neoplasms,100,97,98
Cerebro vascular diseases (stroke),17,29,24
Chronic lower respiratory diseases,23,25,26
Accidents,11,16,14
Alzheimer's disease,14,10,18
"Nephritis, nephrotic syndrome and nephrosis",8,12,11
Diabetes mellitus,11,9,9
Influenza and pneumonia,12,9,14
Septicemia,8,7,10
Intentional self-harm (suicide),4,3,5
Chronic liver disease and cirrhosis,4,5,3
All other causes,79,76,89
