,2009,2010,2011
Diseases of heart,102,78,107
Malignant neoplasms,109,80,97
Cerebro vascular diseases (stroke),14,26,17
Chronic lower respiratory diseases,17,13,28
Accidents,25,22,22
Alzheimer's disease,16,17,12
"Nephritis, nephrotic syndrome and nephrosis",7,7,6
Diabetes mellitus,8,14,13
Influenza and pneumonia,6,5,9
Septicemia,3,5,6
Intentional self-harm (suicide),4,5,10
Chronic liver disease and cirrhosis,6,4,8
All other causes,57,85,77
