,2009,2010,2011
Diseases of heart,538,527,562
Malignant neoplasms,560,554,526
Cerebro vascular diseases (stroke),196,141,139
Chronic lower respiratory diseases,151,158,160
Accidents,112,93,105
Alzheimer's disease,74,76,71
"Nephritis, nephrotic syndrome and nephrosis",108,62,54
Diabetes mellitus,59,86,91
Influenza and pneumonia,47,36,30
Septicemia,49,37,57
Intentional self-harm (suicide),25,29,39
Chronic liver disease and cirrhosis,19,29,29
All other causes,538,544,597
