,2009,2010,2011
Diseases of heart,101,76,86
Malignant neoplasms,98,62,81
Cerebro vascular diseases (stroke),10,12,17
Chronic lower respiratory diseases,14,27,29
Accidents,19,21,36
Alzheimer's disease,10,16,17
"Nephritis, nephrotic syndrome and nephrosis",12,12,11
Diabetes mellitus,16,10,11
Influenza and pneumonia,10,8,8
Septicemia,11,4,6
Intentional self-harm (suicide),5,4,5
Chronic liver disease and cirrhosis,3,2,3
All other causes,82,81,78
