,2009,2010,2011
Diseases of heart,95,108,109
Malignant neoplasms,107,104,94
Cerebro vascular diseases (stroke),28,23,34
Chronic lower respiratory diseases,27,29,23
Accidents,24,14,25
Alzheimer's disease,19,14,25
"Nephritis, nephrotic syndrome and nephrosis",9,15,13
Diabetes mellitus,17,16,9
Influenza and pneumonia,6,8,13
Septicemia,12,13,9
Intentional self-harm (suicide),5,3,10
Chronic liver disease and cirrhosis,7,3,6
All other causes,80,109,111
