,2009,2010,2011
Diseases of heart,39,34,38
Malignant neoplasms,42,43,44
Cerebro vascular diseases (stroke),22,20,9
Chronic lower respiratory diseases,7,14,22
Accidents,10,10,11
Alzheimer's disease,2,3,3
"Nephritis, nephrotic syndrome and nephrosis",6,4,4
Diabetes mellitus,6,8,12
Influenza and pneumonia,3,6,9
Septicemia,1,4,2
Intentional self-harm (suicide),3,0,2
Chronic liver disease and cirrhosis,1,4,5
All other causes,58,50,58
