,2009,2010,2011
Diseases of heart,300,307,321
Malignant neoplasms,293,296,267
Cerebro vascular diseases (stroke),54,78,80
Chronic lower respiratory diseases,73,64,55
Accidents,35,32,35
Alzheimer's disease,20,20,13
"Nephritis, nephrotic syndrome and nephrosis",23,36,26
Diabetes mellitus,31,21,24
Influenza and pneumonia,12,14,26
Septicemia,14,22,20
Intentional self-harm (suicide),18,8,4
Chronic liver disease and cirrhosis,4,12,10
All other causes,244,256,299
