,2009,2010,2011
Diseases of heart,246,255,238
Malignant neoplasms,245,288,244
Cerebro vascular diseases (stroke),68,56,54
Chronic lower respiratory diseases,49,65,56
Accidents,61,53,22
Alzheimer's disease,65,56,71
"Nephritis, nephrotic syndrome and nephrosis",26,23,18
Diabetes mellitus,13,25,29
Influenza and pneumonia,20,20,21
Septicemia,11,12,18
Intentional self-harm (suicide),21,17,14
Chronic liver disease and cirrhosis,8,16,16
All other causes,253,210,263
