,2009,2010,2011
Diseases of heart,42,43,53
Malignant neoplasms,49,40,52
Cerebro vascular diseases (stroke),15,16,13
Chronic lower respiratory diseases,11,10,16
Accidents,8,9,9
Alzheimer's disease,15,9,4
"Nephritis, nephrotic syndrome and nephrosis",5,5,8
Diabetes mellitus,8,6,7
Influenza and pneumonia,9,7,7
Septicemia,5,2,4
Intentional self-harm (suicide),1,2,1
Chronic liver disease and cirrhosis,1,0,5
All other causes,50,48,43
