,2009,2010,2011
Diseases of heart,874,923,985
Malignant neoplasms,"1,004",973,979
Cerebro vascular diseases (stroke),164,173,184
Chronic lower respiratory diseases,168,183,192
Accidents,161,175,164
Alzheimer's disease,81,100,79
"Nephritis, nephrotic syndrome and nephrosis",101,104,108
Diabetes mellitus,101,86,82
Influenza and pneumonia,81,69,63
Septicemia,58,55,50
Intentional self-harm (suicide),44,55,60
Chronic liver disease and cirrhosis,65,41,47
All other causes,822,824,876
