,2009,2010,2011
Diseases of heart,93,98,94
Malignant neoplasms,94,86,85
Cerebro vascular diseases (stroke),26,31,21
Chronic lower respiratory diseases,21,23,31
Accidents,16,22,13
Alzheimer's disease,11,15,11
"Nephritis, nephrotic syndrome and nephrosis",5,10,10
Diabetes mellitus,12,3,7
Influenza and pneumonia,15,14,12
Septicemia,3,3,4
Intentional self-harm (suicide),4,9,3
Chronic liver disease and cirrhosis,2,2,5
All other causes,55,66,80
