,2009,2010,2011
Diseases of heart,76,72,69
Malignant neoplasms,85,67,84
Cerebro vascular diseases (stroke),17,23,21
Chronic lower respiratory diseases,23,24,21
Accidents,22,28,23
Alzheimer's disease,10,9,11
"Nephritis, nephrotic syndrome and nephrosis",13,7,5
Diabetes mellitus,5,13,13
Influenza and pneumonia,9,9,4
Septicemia,1,4,9
Intentional self-harm (suicide),0,0,0
Chronic liver disease and cirrhosis,2,3,1
All other causes,45,73,80
