,2009,2010,2011
Diseases of heart,78,85,73
Malignant neoplasms,90,74,81
Cerebro vascular diseases (stroke),24,23,24
Chronic lower respiratory diseases,19,21,15
Accidents,16,14,9
Alzheimer's disease,29,29,20
"Nephritis, nephrotic syndrome and nephrosis",9,7,5
Diabetes mellitus,8,7,7
Influenza and pneumonia,12,7,10
Septicemia,2,4,5
Intentional self-harm (suicide),7,2,6
Chronic liver disease and cirrhosis,3,1,0
All other causes,73,76,90
