,2009,2010,2011
Diseases of heart,22,18,22
Malignant neoplasms,14,25,21
Cerebro vascular diseases (stroke),5,4,1
Chronic lower respiratory diseases,3,6,4
Accidents,6,4,3
Alzheimer's disease,0,1,0
"Nephritis, nephrotic syndrome and nephrosis",1,1,2
Diabetes mellitus,2,0,0
Influenza and pneumonia,0,3,1
Septicemia,3,3,1
Intentional self-harm (suicide),0,3,0
Chronic liver disease and cirrhosis,1,2,1
All other causes,17,21,11
