,2009,2010,2011
Diseases of heart,28,46,34
Malignant neoplasms,25,33,36
Cerebro vascular diseases (stroke),7,4,7
Chronic lower respiratory diseases,4,13,13
Accidents,9,15,6
Alzheimer's disease,3,1,3
"Nephritis, nephrotic syndrome and nephrosis",3,3,3
Diabetes mellitus,8,1,2
Influenza and pneumonia,2,4,4
Septicemia,3,6,1
Intentional self-harm (suicide),3,0,2
Chronic liver disease and cirrhosis,5,3,1
All other causes,28,31,41
