,2009,2010,2011
Diseases of heart,236,230,260
Malignant neoplasms,275,260,273
Cerebro vascular diseases (stroke),59,59,54
Chronic lower respiratory diseases,51,83,63
Accidents,63,60,48
Alzheimer's disease,51,50,62
"Nephritis, nephrotic syndrome and nephrosis",37,36,26
Diabetes mellitus,28,22,25
Influenza and pneumonia,31,20,28
Septicemia,28,16,20
Intentional self-harm (suicide),24,17,8
Chronic liver disease and cirrhosis,7,8,12
All other causes,296,263,330
