County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kendall,14.41,18.2,12.89,13.65,20.48,22.75,15.17,28.06,38.67,22.75,28.82,23.51,22.75,23.51,18.96
Knox,140.09,46.03,62.04,30.02,42.03,64.04,42.03,138.09,54.04,132.09,110.07,118.08,116.08,94.06,84.06
LaSalle,64.75,66.57,66.57,55.63,43.77,51.98,56.54,81.16,53.8,77.51,82.07,63.83,70.22,68.39,81.16
Lake,29.54,22.4,26.46,16.8,23.94,22.12,29.54,33.18,31.22,31.78,32.62,31.92,27.58,25.06,28.14
Lawrence,91.62,65.45,58.9,71.99,71.99,58.9,85.08,65.45,32.72,71.99,104.71,85.08,71.99,150.52,104.71
Lee,73.22,58.57,49.79,46.86,43.93,35.14,73.22,55.65,52.72,93.72,87.86,58.57,61.5,43.93,49.79
Livingston,67.01,39.09,36.3,39.09,78.18,39.09,50.26,30.71,61.43,92.14,89.35,61.43,72.6,61.43,108.89
Logan,75.04,57.17,35.73,28.58,46.45,64.32,46.45,103.62,57.17,121.48,103.62,75.03,75.03,60.74,96.47
Macon,70.19,33.65,30.77,33.65,27.89,32.69,52.89,70.19,62.5,61.54,88.46,71.16,64.42,56.73,76.92
Macoupin,80.06,64.49,53.37,42.25,44.48,91.18,42.25,71.16,95.63,64.49,88.95,88.95,57.82,73.39,95.63
Madison,70.34,52.28,58.3,54.92,67.7,58.3,77.86,66.2,59.81,56.8,60.93,56.04,65.07,60.93,50.78
Marion,106.02,74.21,66.26,31.81,42.41,58.31,63.61,135.17,90.12,116.62,100.72,106.02,156.38,132.52,140.48
Marshall,110.71,51.1,34.07,34.07,25.55,42.58,85.16,59.61,8.52,34.07,102.2,85.16,42.58,68.13,51.1
Mason,137.55,68.78,114.63,38.21,76.42,76.42,68.78,76.42,30.57,122.27,76.42,122.27,68.78,76.42,68.78
Massac,119.98,77.63,63.52,84.69,63.52,70.58,49.4,141.15,91.75,134.1,134.1,141.15,211.73,169.38,127.04
McDonough,77.1,25.7,25.7,55.07,62.41,58.74,62.41,84.44,47.73,58.74,84.44,73.43,58.74,66.08,55.07
McHenry,30.3,28.04,28.69,25.79,32.88,28.04,36.75,37.07,42.23,34.81,39.33,37.07,32.23,32.88,36.1
McLean,41.53,35.68,31.0,12.87,43.87,25.74,35.68,43.87,34.51,41.53,49.72,58.5,47.38,40.95,50.31
Menard,105.72,73.19,32.53,40.66,40.66,24.4,48.79,48.79,113.85,73.19,24.4,73.19,40.66,89.45,56.92
Mercer,140.14,63.7,44.59,31.85,38.22,82.81,25.48,57.33,38.22,89.18,63.7,108.29,108.29,95.55,121.03
Monroe,77.23,25.74,37.18,45.76,31.46,45.76,60.07,42.9,48.62,22.88,68.65,65.79,42.9,31.46,57.2
Montgomery,70.7,74.24,42.42,45.96,67.17,74.24,70.7,49.49,70.7,95.45,95.45,84.84,77.77,113.12,81.31
Morgan,75.95,54.69,66.84,60.76,75.95,82.03,45.57,69.88,54.69,54.69,88.11,94.18,60.76,88.11,91.14
Moultrie,82.61,48.19,48.19,55.07,61.96,55.07,34.42,68.84,55.07,110.15,61.96,75.73,61.96,123.92,55.07
Ogle,56.0,42.48,48.27,25.1,56.0,46.34,56.0,54.07,50.2,84.96,57.93,79.17,81.1,81.1,73.38
Peoria,52.25,40.7,35.75,27.5,44.55,44.55,50.6,61.6,49.5,64.9,48.4,58.3,56.65,56.65,51.15
Perry,81.17,19.1,42.97,42.97,42.97,47.74,71.62,66.84,76.39,66.84,105.04,76.39,66.84,95.49,62.07
Piatt,47.98,47.98,41.98,29.99,17.99,71.97,77.97,53.98,59.98,77.97,83.97,89.97,41.98,65.97,59.98
Pike,101.77,67.85,67.85,74.63,81.42,47.49,61.06,101.77,74.63,169.62,61.06,94.99,88.2,47.49,162.83
Pope,186.02,26.57,79.72,26.57,159.45,53.15,53.15,26.57,79.72,159.45,132.87,53.15,106.3,132.87,53.15
Pulaski,96.28,38.51,57.77,19.26,115.54,38.51,38.51,192.57,38.51,96.28,96.28,19.26,77.03,115.54,77.03
Putnam,53.22,35.48,53.22,53.22,35.48,70.96,17.74,17.74,70.96,106.44,35.48,88.7,0.0,0.0,70.96
Randolph,102.77,62.99,69.62,119.35,96.14,109.41,79.57,72.94,79.57,86.2,69.62,82.88,82.88,79.57,82.88
Richland,107.51,75.89,31.62,37.94,63.24,37.94,101.18,75.89,75.89,101.18,82.21,113.83,170.75,63.24,88.53
Rock Island,78.11,35.25,33.18,30.41,42.86,44.24,36.63,65.67,39.4,71.89,84.33,68.43,67.05,64.28,62.21
Saline,75.73,42.07,63.11,42.07,84.15,92.56,63.11,147.26,71.52,159.88,130.43,134.63,176.71,130.43,105.18
Sangamon,55.01,43.29,51.44,42.78,59.59,47.88,51.44,45.33,48.89,47.88,48.89,56.02,53.48,55.51,54.5
Schuyler,86.93,57.95,72.44,72.44,43.47,86.93,57.95,86.93,86.93,43.47,130.4,86.93,86.93,86.93,86.93
Scott,60.62,60.62,101.03,60.62,20.21,121.24,0.0,20.21,101.03,60.62,20.21,60.62,60.62,101.03,60.62
Shelby,52.41,61.93,33.35,33.35,61.93,47.64,47.64,61.93,38.11,47.64,52.41,38.11,61.93,61.93,66.7
St. Clair,61.38,43.51,36.13,40.79,57.89,55.56,55.17,54.0,50.12,65.27,57.89,67.99,61.77,59.44,56.72
Stark,55.56,74.07,111.11,111.11,37.04,18.52,37.04,166.67,18.52,74.07,129.63,74.07,55.56,111.11,37.04
Stephenson,85.14,40.33,44.81,49.29,33.61,62.74,47.05,78.42,73.94,76.18,56.02,69.46,89.63,64.98,69.46
