County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kendall,3.79,2.27,3.03,4.55,7.58,6.07,5.31,5.31,5.31,3.79,8.34,4.55,0.0,0.0,0.0
Knox,14.01,6.0,20.01,16.01,20.01,20.01,24.02,14.01,16.01,26.02,22.01,20.01,0.0,0.0,0.0
LaSalle,11.86,12.77,13.68,13.68,10.94,18.24,10.94,21.89,10.94,11.86,15.5,18.24,0.0,0.0,0.0
Lake,7.84,8.12,7.56,8.96,9.94,11.2,10.36,12.18,8.68,12.46,15.4,13.58,0.0,0.0,0.0
Lawrence,32.72,13.09,39.27,32.72,19.63,6.54,32.72,13.09,26.18,39.27,45.81,13.09,0.0,0.0,0.0
Lee,20.5,20.5,14.64,8.79,2.93,14.64,11.71,11.71,23.43,14.64,8.79,17.57,0.0,0.0,0.0
Livingston,22.34,22.34,30.71,27.92,13.96,11.17,27.92,11.17,22.34,16.75,11.17,25.13,0.0,0.0,0.0
Logan,3.57,17.87,14.29,39.3,32.16,25.01,14.29,17.87,21.44,25.01,21.44,28.58,0.0,0.0,0.0
Macon,30.77,13.46,21.15,19.23,22.12,30.77,45.19,21.15,20.19,24.04,25.96,41.35,0.0,0.0,0.0
Macoupin,11.12,22.24,17.79,17.79,24.46,17.79,28.91,20.01,17.79,24.46,24.46,11.12,0.0,0.0,0.0
Madison,16.17,18.43,19.94,16.17,16.17,16.93,14.67,18.05,19.56,16.17,22.57,26.71,0.0,0.0,0.0
Marion,23.85,18.55,39.76,18.55,29.16,15.9,15.9,34.46,23.85,42.41,15.9,13.25,0.0,0.0,0.0
Marshall,8.52,42.58,17.03,17.03,25.55,8.52,25.55,8.52,17.03,34.07,25.55,17.03,0.0,0.0,0.0
Mason,30.57,38.21,22.93,61.13,22.93,0.0,7.64,22.93,22.93,30.57,7.64,22.93,0.0,0.0,0.0
Massac,7.06,14.12,0.0,14.12,14.12,14.12,14.12,28.23,14.12,21.17,28.23,49.4,0.0,0.0,0.0
McDonough,7.34,14.69,18.36,11.01,22.03,7.34,36.71,25.7,11.01,22.03,36.71,11.01,0.0,0.0,0.0
McHenry,7.74,5.48,8.7,7.09,6.77,7.41,8.7,9.03,7.09,11.6,10.31,9.35,0.0,0.0,0.0
McLean,7.02,6.43,7.02,10.53,7.6,12.87,9.36,11.11,8.19,9.36,13.45,11.11,0.0,0.0,0.0
Menard,0.0,24.4,8.13,16.26,16.26,40.66,16.26,16.26,40.66,32.53,16.26,24.4,0.0,0.0,0.0
Mercer,6.37,6.37,6.37,6.37,12.74,6.37,44.59,12.74,19.11,12.74,0.0,12.74,0.0,0.0,0.0
Monroe,20.02,17.16,14.3,11.44,5.72,11.44,17.16,14.3,25.74,28.6,5.72,11.44,0.0,0.0,0.0
Montgomery,7.07,7.07,31.82,14.14,21.21,17.68,31.82,17.68,17.68,14.14,35.35,35.35,0.0,0.0,0.0
Morgan,12.15,24.31,3.04,9.11,24.31,21.27,12.15,21.27,18.23,24.31,15.19,18.23,0.0,0.0,0.0
Moultrie,13.77,13.77,0.0,6.88,34.42,20.65,27.54,13.77,34.42,13.77,6.88,13.77,0.0,0.0,0.0
Ogle,13.52,11.59,15.45,7.72,5.79,7.72,11.59,17.38,11.59,7.72,15.45,11.59,0.0,0.0,0.0
Peoria,22.55,12.65,23.65,19.8,13.75,19.25,19.8,26.4,23.65,19.25,21.45,16.5,0.0,0.0,0.0
Perry,9.55,38.2,33.42,33.42,19.1,23.87,28.65,28.65,19.1,33.42,23.87,0.0,0.0,0.0,0.0
Piatt,0.0,6.0,12.0,6.0,23.99,6.0,17.99,6.0,17.99,23.99,12.0,17.99,0.0,0.0,0.0
Pike,33.92,6.78,27.14,13.57,40.71,40.71,33.92,40.71,20.35,54.28,6.78,33.92,0.0,0.0,0.0
Pope,0.0,26.57,0.0,26.57,26.57,26.57,26.57,26.57,0.0,53.15,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,19.26,19.26,38.51,19.26,19.26,0.0,57.77,19.26,19.26,19.26,19.26,0.0,0.0,0.0
Putnam,35.48,53.22,0.0,35.48,0.0,35.48,17.74,0.0,0.0,35.48,35.48,0.0,0.0,0.0,0.0
Randolph,6.63,36.47,13.26,19.89,26.52,16.58,16.58,16.58,16.58,23.21,33.15,13.26,0.0,0.0,0.0
Richland,18.97,18.97,6.32,25.3,25.3,18.97,18.97,44.27,6.32,25.3,25.3,12.65,0.0,0.0,0.0
Rock Island,22.12,12.44,20.74,17.97,17.97,17.28,13.82,19.35,20.74,26.27,18.66,27.65,0.0,0.0,0.0
Saline,16.83,46.28,50.49,21.04,21.04,54.7,46.28,42.07,46.28,46.28,46.28,29.45,0.0,0.0,0.0
Sangamon,12.73,13.24,9.68,14.77,18.34,20.37,16.3,24.45,17.32,22.92,22.92,30.56,0.0,0.0,0.0
Schuyler,0.0,28.98,0.0,14.49,14.49,28.98,28.98,43.47,14.49,0.0,28.98,0.0,0.0,0.0,0.0
Scott,40.41,40.41,0.0,20.21,20.21,20.21,20.21,60.62,20.21,0.0,0.0,20.21,0.0,0.0,0.0
Shelby,9.53,9.53,14.29,9.53,14.29,23.82,14.29,14.29,33.35,9.53,28.59,14.29,0.0,0.0,0.0
St. Clair,18.26,19.04,14.37,22.14,21.37,15.93,21.37,26.42,25.25,27.97,24.48,22.53,0.0,0.0,0.0
Stark,0.0,37.04,18.52,18.52,18.52,0.0,0.0,37.04,18.52,37.04,0.0,18.52,0.0,0.0,0.0
Stephenson,20.17,26.89,26.89,8.96,11.2,17.93,17.93,20.17,20.17,17.93,13.44,11.2,0.0,0.0,0.0
Suburban Cook,287.43,313.68,265.12,255.93,202.77,190.96,244.77,208.02,211.96,202.12,196.87,175.21,0.0,0.0,0.0
Tazewell,15.99,25.12,15.23,25.13,15.99,17.51,15.99,22.08,20.56,12.18,22.08,26.65,0.0,0.0,0.0
Union,34.79,29.0,11.6,23.2,40.59,46.39,5.8,29.0,29.0,40.59,29.0,34.79,0.0,0.0,0.0
Vermilion,21.57,28.31,18.87,35.05,25.61,22.91,24.26,18.87,14.83,18.87,22.91,17.52,0.0,0.0,0.0
Wabash,17.6,26.41,52.81,8.8,8.8,44.01,17.6,8.8,26.41,35.21,17.6,8.8,0.0,0.0,0.0
Warren,11.88,17.82,17.82,11.88,11.88,17.82,17.82,11.88,41.58,11.88,11.88,0.0,0.0,0.0,0.0
Washington,36.33,14.53,21.8,36.33,7.27,29.07,29.07,21.8,7.27,21.8,14.53,14.53,0.0,0.0,0.0
Wayne,24.72,18.54,12.36,12.36,30.9,24.72,12.36,12.36,6.18,12.36,18.54,18.54,0.0,0.0,0.0
White,43.24,14.41,36.03,28.82,28.82,21.62,28.82,79.27,14.41,43.24,28.82,36.03,0.0,0.0,0.0
Whiteside,8.98,5.39,17.96,21.55,7.18,12.57,8.98,19.75,7.18,16.16,14.36,5.39,0.0,0.0,0.0
Will,10.05,8.33,7.9,7.18,6.75,6.46,5.74,8.47,6.46,10.63,7.9,10.05,0.0,0.0,0.0
Williamson,23.83,22.34,34.25,29.78,28.29,46.16,29.78,50.63,38.72,52.12,34.25,49.14,0.0,0.0,0.0
Winnebago,10.16,9.81,10.51,9.46,9.81,12.27,9.46,14.37,10.86,11.56,13.67,11.92,0.0,0.0,0.0
Woodford,0.0,5.2,10.4,13.0,18.2,15.6,23.4,5.2,20.8,10.4,15.6,5.2,0.0,0.0,0.0
