County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kendall,72.8,81.9,91.76,97.82,104.65,109.2,106.92,116.78,108.44,108.44,109.96,126.64,121.33,128.16,125.12
Knox,242.16,260.17,290.19,228.15,302.2,288.19,222.15,272.18,264.17,296.19,250.17,266.18,278.18,286.19,278.18
LaSalle,278.14,248.96,279.05,272.67,268.11,252.6,277.23,267.19,273.58,256.25,293.64,273.58,261.72,277.22,227.98
Lake,144.19,141.81,141.81,140.97,159.45,146.43,145.45,153.71,164.49,163.09,160.99,154.69,155.81,152.73,163.09
Lawrence,196.34,235.6,281.41,261.78,242.15,189.79,261.78,287.96,320.68,202.88,340.31,294.5,209.42,268.33,189.79
Lee,287.01,319.23,213.79,243.08,257.72,272.37,269.44,248.94,272.37,281.16,213.79,301.65,278.23,210.87,246.01
Livingston,242.92,282.01,189.86,248.5,251.29,295.97,279.21,242.92,276.42,242.92,282.0,248.5,251.29,234.54,242.92
Logan,225.11,217.96,303.71,210.81,282.27,335.87,303.71,325.15,325.15,246.54,267.98,278.7,260.84,217.96,303.71
Macon,288.47,281.74,284.62,256.74,279.81,289.43,271.16,264.43,272.12,257.7,243.27,266.35,262.51,250.97,242.31
Macoupin,293.55,273.53,244.62,260.19,311.34,264.64,264.64,257.97,313.56,293.55,293.55,249.07,240.18,264.64,273.53
Madison,218.16,226.06,238.85,220.04,213.65,249.76,228.32,247.12,226.44,227.56,237.34,217.78,222.67,220.42,245.62
Marion,288.9,283.6,365.77,355.16,235.89,349.86,238.54,339.26,273.0,331.31,347.21,262.4,307.46,288.9,307.46
Marshall,221.43,238.46,340.66,195.88,323.62,246.98,323.62,383.24,315.11,400.27,340.66,212.91,272.53,195.88,272.53
Mason,405.01,305.67,351.52,328.6,359.16,343.88,320.95,275.1,443.22,374.45,359.16,328.59,412.65,336.24,191.04
Massac,331.71,247.02,367.0,225.85,254.08,197.61,282.31,324.65,268.19,254.08,239.96,289.36,261.13,261.13,289.36
McDonough,253.32,256.99,223.95,242.31,209.27,256.99,198.25,260.67,245.98,260.66,183.57,209.27,245.98,157.87,227.62
McHenry,150.21,152.15,162.46,156.98,171.49,164.4,159.56,155.37,171.16,173.74,173.74,169.88,183.41,183.74,194.05
McLean,152.09,143.31,168.47,142.73,150.92,152.67,156.77,157.35,143.9,159.69,157.35,157.35,152.09,166.13,162.62
Menard,235.83,243.96,211.43,178.91,309.02,357.81,235.83,284.62,260.23,227.7,276.49,178.91,178.91,252.09,325.28
Mercer,197.46,178.36,248.42,242.05,343.97,305.75,273.9,273.9,312.12,312.12,343.97,248.42,267.53,222.94,299.38
Monroe,180.19,163.03,180.19,214.52,154.45,163.03,177.33,220.24,122.99,160.17,160.17,197.36,217.38,180.2,205.94
Montgomery,314.62,304.02,311.09,311.09,289.87,296.95,307.55,279.27,307.55,279.27,279.27,258.06,254.52,289.88,318.16
Morgan,300.78,258.24,224.82,309.89,282.55,264.32,273.43,291.66,252.16,282.55,264.32,288.62,273.43,261.28,282.55
Moultrie,227.18,206.53,289.14,275.37,268.48,268.48,296.02,268.48,261.6,213.41,220.29,234.06,289.14,254.72,247.83
