County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kendall,3.03,7.58,6.07,5.31,4.55,8.34,6.82,6.82,6.07,8.34,9.1,9.86,7.58,9.86,4.55
Knox,48.03,30.02,56.04,64.04,40.03,52.03,28.02,42.03,32.02,34.02,42.03,28.02,20.01,26.02,26.02
LaSalle,34.65,28.27,22.8,27.36,36.48,31.01,24.62,33.74,22.8,34.65,31.01,21.89,31.92,27.36,18.24
Lake,10.92,14.0,13.16,12.6,11.48,13.3,13.16,11.34,10.36,10.36,16.94,11.34,13.86,9.1,12.46
Lawrence,26.18,26.18,39.27,52.36,39.27,32.72,26.18,26.18,45.81,26.18,32.72,32.72,39.27,13.09,13.09
Lee,20.5,17.57,8.79,20.5,17.57,11.71,14.64,32.22,8.79,26.36,20.5,11.71,11.71,20.5,20.5
Livingston,27.92,19.54,30.71,16.75,41.88,30.71,27.92,27.92,22.34,25.13,33.51,39.09,13.96,16.75,27.92
Logan,25.01,25.01,21.44,32.16,28.58,14.29,32.16,28.58,53.6,39.3,64.32,28.58,42.88,14.29,32.16
Macon,13.46,11.54,13.46,25.0,29.81,30.77,36.54,25.0,25.0,33.65,28.85,33.65,46.15,31.73,20.19
Macoupin,40.03,33.36,35.58,33.36,28.91,22.24,37.81,28.91,17.79,17.79,51.15,28.91,20.01,11.12,24.46
Madison,25.95,23.7,19.56,21.82,15.8,21.44,28.59,23.32,13.16,25.2,21.44,20.69,25.2,17.3,24.45
Marion,45.06,34.46,53.01,37.11,34.46,23.85,42.41,34.46,26.5,21.2,21.2,23.85,29.16,26.5,15.9
Marshall,59.62,0.0,0.0,17.03,25.55,51.1,59.61,17.03,85.16,51.1,42.58,51.1,25.55,25.55,25.55
Mason,38.21,22.93,30.57,38.21,22.93,15.28,15.28,30.57,15.28,30.57,30.57,22.93,38.21,15.28,30.57
Massac,21.17,14.12,14.12,42.35,21.17,21.17,35.29,7.06,28.23,28.23,28.23,35.29,14.12,14.12,21.17
McDonough,25.7,36.71,44.06,29.37,29.37,40.38,44.06,44.06,36.71,29.37,22.03,25.7,44.06,11.01,18.36
McHenry,12.25,13.22,8.7,10.64,10.31,16.12,12.57,9.67,6.77,9.99,10.96,6.45,12.25,13.86,10.96
McLean,12.87,11.7,11.7,12.28,16.96,11.11,8.77,11.7,7.6,13.45,8.19,5.26,12.28,9.94,14.04
Menard,40.66,56.92,32.53,16.26,32.53,24.4,24.4,32.53,16.26,32.53,40.66,73.19,24.4,16.26,8.13
Mercer,6.37,38.22,6.37,25.48,31.85,31.85,6.37,0.0,6.37,12.74,12.74,6.37,31.85,12.74,12.74
Monroe,25.74,5.72,22.88,11.44,17.16,2.86,11.44,14.3,5.72,20.02,31.46,17.16,14.3,17.16,14.3
Montgomery,45.96,56.56,53.03,42.42,42.42,49.49,45.96,31.82,31.82,24.75,31.82,42.42,38.89,10.61,21.21
Morgan,48.61,39.5,51.65,33.42,45.57,21.27,27.34,24.3,30.38,9.11,45.57,30.38,48.61,21.27,9.11
Moultrie,48.19,13.77,27.54,61.96,13.77,6.88,34.42,20.65,20.65,68.84,27.54,34.42,27.54,0.0,13.77
Ogle,19.31,19.31,5.79,1.93,25.1,15.45,25.1,15.45,11.59,3.86,11.59,5.79,11.59,21.24,11.59
Peoria,30.25,20.9,30.25,23.1,28.05,31.9,26.4,36.3,29.7,33.55,29.7,19.25,19.8,17.05,15.95
Perry,28.65,19.1,23.87,28.65,14.32,47.74,33.42,19.1,23.87,28.65,14.32,33.42,23.87,33.42,38.2
Piatt,35.99,23.99,23.99,12.0,23.99,41.98,12.0,35.99,12.0,23.99,29.99,6.0,6.0,41.98,29.99
Pike,61.06,20.35,40.71,61.06,54.28,40.71,27.14,27.14,20.35,47.49,13.57,20.35,27.14,6.78,33.92
Pope,26.57,0.0,26.57,26.57,53.15,26.57,0.0,0.0,0.0,79.72,26.57,26.57,26.57,26.57,0.0
Pulaski,19.26,96.28,0.0,38.51,19.26,38.51,77.03,38.51,57.77,38.51,19.26,0.0,38.51,19.26,19.26
Putnam,0.0,0.0,0.0,17.74,0.0,0.0,0.0,17.74,70.96,88.7,70.96,0.0,17.74,17.74,0.0
