County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stark,1,4,6,6,2,1,2,5,1,4,0,4,1,6,8
Stephenson,19,18,20,22,15,28,21,0,33,34,0,31,32,31,60
Suburban Cook,0,566,609,509,0,656,694,0,910,0,0,817,1345,1394,2828
Tazewell,57,42,41,35,67,48,60,0,59,78,0,99,74,93,0
Union,8,8,9,9,5,10,11,0,11,0,0,14,13,19,16
Vermilion,44,45,36,31,50,41,53,0,45,95,0,84,51,51,98
Wabash,0,9,15,6,7,11,4,0,5,11,0,10,5,8,18
Warren,11,6,8,6,10,11,6,0,6,16,0,18,9,12,20
Washington,12,7,4,10,2,12,9,0,14,7,0,6,7,17,8
Wayne,8,3,7,6,2,10,7,0,13,15,0,19,10,13,10
White,35,30,29,31,29,40,30,0,36,84,0,83,51,48,116
Will,36,184,207,201,229,210,242,0,298,318,60,64,40,29,674
Winnebago,142,139,132,106,176,191,167,0,209,196,203,193,170,187,332
Woodford,15,16,14,9,0,16,22,0,9,24,0,24,20,25,48
