County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stark,2,0,1,4,1,1,4,2,2,2,0,2,2,2,2
Stephenson,8,9,11,15,11,8,11,0,11,17,0,14,21,25,40
Suburban Cook,0,598,504,526,0,464,509,0,500,0,0,507,660,580,1248
Tazewell,44,26,32,43,30,21,24,0,9,21,0,36,49,46,0
Union,10,8,6,7,3,15,5,0,8,0,0,13,4,7,22
Vermilion,18,22,16,15,22,31,22,0,30,31,0,18,51,39,92
Wabash,0,8,1,2,6,1,2,0,4,5,0,2,5,3,6
Warren,9,1,8,4,1,2,2,0,3,2,0,2,10,7,14
Washington,3,6,4,3,4,4,3,0,4,0,0,4,8,1,12
Wayne,12,7,5,1,3,12,5,0,10,5,0,10,5,5,24
White,26,15,21,16,21,27,19,0,19,24,0,28,17,14,52
Will,17,134,95,97,125,111,153,0,144,153,22,17,17,21,372
Winnebago,45,65,55,43,82,79,75,0,89,88,70,72,71,82,206
Woodford,9,8,7,7,0,9,5,0,7,4,0,5,7,11,20
