County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
St. Clair,563,560,554,526,578,561,557,0,567,533,0,508,570,507,1038
Stark,20,15,17,14,25,10,17,14,12,15,0,11,15,17,24
Stephenson,124,127,113,137,134,122,127,0,107,123,0,108,127,122,226
Suburban Cook,0,5035,4937,4888,0,4957,4985,0,4962,0,0,4826,4792,4774,9116
Tazewell,308,345,326,341,306,333,305,0,298,304,0,314,294,281,0
Union,51,49,40,52,66,49,57,0,46,0,0,40,44,51,106
Vermilion,212,231,206,196,241,209,252,0,221,215,0,225,207,226,444
Wabash,0,25,33,36,43,28,32,0,27,32,0,29,29,34,72
Warren,33,41,28,52,35,51,33,0,34,34,0,42,52,47,80
Washington,38,31,31,27,39,38,41,0,41,26,0,24,28,31,80
Wayne,41,46,50,42,48,36,47,0,44,39,0,42,37,41,104
White,183,216,200,210,202,212,178,0,197,183,0,175,193,176,408
Will,154,1190,1144,1151,1246,1203,1248,0,1241,1260,163,155,164,150,2610
Winnebago,655,629,591,707,673,676,698,0,652,661,628,609,642,621,1272
Woodford,57,90,74,81,0,82,79,0,87,84,0,77,83,72,164
