County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sangamon,1782,1930,1766,1770,1888,1851,1910,0,1896,2059,0,2000,2227,2119,4456
Schuyler,80,85,77,97,79,80,71,0,99,89,0,75,98,108,196
Scott,50,50,60,63,59,65,54,63,63,65,48,66,68,69,138
Shelby,262,248,235,231,228,224,254,0,228,227,0,264,277,321,580
St. Clair,2477,2476,2372,2460,2509,2481,2544,0,2488,2674,0,2617,3167,3076,5762
Stark,57,84,83,81,88,65,92,92,67,73,0,65,87,97,150
Stephenson,512,531,517,504,528,537,513,0,564,575,0,570,685,654,1272
Suburban Cook,0,19930,20007,20128,0,20602,20994,0,21082,0,0,21141,26268,24195,47458
Tazewell,1353,1328,1351,1403,1319,1404,1408,0,1387,1404,0,1409,1675,1718,0
Union,222,219,197,222,231,236,226,0,213,0,0,244,284,278,466
Vermilion,926,912,922,982,969,897,1039,0,956,1008,0,997,1105,1186,2312
Wabash,0,128,160,153,142,143,135,0,151,127,0,132,159,161,334
Warren,209,189,167,194,186,182,179,0,177,178,0,197,256,216,416
Washington,166,135,144,152,159,160,150,0,174,140,0,133,183,167,362
Wayne,221,206,195,204,202,218,237,0,195,204,0,225,245,242,538
White,860,834,859,850,912,855,849,0,864,969,0,890,1073,1010,2034
Will,758,4474,4500,4636,4728,4763,4966,0,5282,5583,759,717,872,889,12902
Winnebago,2644,2555,2609,2669,2715,2899,2887,0,2893,3056,3062,3002,3489,3541,6914
Woodford,344,370,350,345,0,369,388,0,377,402,0,393,449,421,896
