County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stark,3,2,4,4,3,1,3,9,3,9,0,5,6,5,14
Stephenson,38,41,33,34,26,30,24,0,46,37,0,37,42,39,124
Suburban Cook,0,1033,901,937,0,1040,1168,0,974,0,0,1019,1202,1339,2876
Tazewell,82,73,85,86,71,78,77,0,79,68,0,66,73,102,0
Union,10,11,10,16,10,13,11,0,16,0,0,10,13,12,18
Vermilion,93,54,96,84,70,42,52,0,89,62,0,59,55,64,116
Wabash,0,4,13,13,5,10,4,0,13,5,0,8,7,7,16
Warren,8,21,12,13,16,13,13,0,17,7,0,13,8,9,22
Washington,7,11,10,8,7,11,6,0,10,9,0,8,11,9,16
Wayne,24,13,8,18,20,12,13,0,10,13,0,6,11,14,40
White,70,44,63,67,68,41,41,0,48,29,0,35,41,47,136
Will,65,206,229,228,224,218,254,0,314,295,30,27,44,46,818
Winnebago,152,137,162,146,151,202,150,0,170,196,147,220,226,264,394
Woodford,22,19,21,15,0,20,16,0,25,16,0,17,19,14,44
