County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stark,0,2,1,1,1,0,0,2,1,2,0,1,3,1,6
Stephenson,9,12,12,4,5,8,8,0,9,8,0,5,18,10,28
Suburban Cook,0,478,404,390,0,291,373,0,323,0,0,267,532,280,778
Tazewell,21,33,20,33,21,23,21,0,27,16,0,35,40,22,0
Union,6,5,2,4,7,8,1,0,5,0,0,6,15,4,6
Vermilion,16,21,14,26,19,17,18,0,11,14,0,13,18,11,44
Wabash,0,3,6,1,1,5,2,0,3,4,0,1,4,1,4
Warren,2,3,3,2,2,3,3,0,7,2,0,0,2,5,0
Washington,5,2,3,5,1,4,4,0,1,3,0,2,3,2,10
Wayne,4,3,2,2,5,4,2,0,1,2,0,3,3,3,8
White,11,5,15,16,8,10,9,0,6,15,0,8,10,14,30
Will,16,73,78,70,66,76,60,0,71,109,23,33,22,20,198
Winnebago,29,28,30,27,28,35,27,0,31,33,39,34,52,54,80
Woodford,0,2,4,5,0,6,9,0,8,4,0,2,10,4,14
