County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stark,0,2,5,0,2,1,1,3,2,2,0,1,4,3,8
Stephenson,14,14,8,9,18,14,13,0,22,29,0,17,25,13,44
Suburban Cook,0,538,553,494,0,548,506,0,513,0,0,515,945,890,1890
Tazewell,33,33,39,36,33,33,34,0,29,42,0,41,77,75,0
Union,2,5,5,8,3,2,2,0,2,0,0,0,10,6,20
Vermilion,26,21,21,27,18,21,30,0,21,36,0,34,38,29,56
Wabash,0,3,3,3,6,2,4,0,1,6,0,0,7,8,16
Warren,3,8,3,1,10,6,8,0,6,2,0,3,9,9,10
Washington,5,1,8,8,1,1,3,0,4,2,0,3,4,5,16
Wayne,1,5,5,4,6,5,10,0,1,6,0,6,9,6,40
White,27,28,18,23,22,16,20,0,22,16,0,16,28,27,54
Will,16,117,136,135,110,112,126,0,134,140,15,22,17,23,388
Winnebago,49,43,66,54,46,66,56,0,67,64,67,66,148,148,276
Woodford,8,9,7,5,0,9,9,0,12,9,0,9,30,24,64
